city,season,month,metric,family,live_data_version,prior_data_version,training_cutoff,stored_bias_c,stored_sd_c,stored_n_live,stored_n_prior,stored_n_paired,stored_paired_delta_c,stored_code_commit,stored_fit_signature_hash,stored_authority,status,reason,recomputed_bias_c,recomputed_sd_c,recomputed_n_live,recomputed_n_prior,recomputed_n_paired,recomputed_paired_delta_c,coverage_months_observed,delta_bias_c,delta_sd_c
Chongqing,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,0.2637256789171744,2.0007594541483638,14,47,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,345c2db8c99245cb,STAGING,REPRODUCIBLE,within_tolerance,0.2637256789171744,2.0007594541483638,14,47,2,-0.5180130004882795,"3,4,5",0.0,0.0
Dallas,DJF,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-1.2004916227015754,1.5679715131019747,0,77,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,66cedc719120bfe9,STAGING,REPRODUCIBLE,within_tolerance,-1.2004916227015754,1.5679715131019747,0,77,0,,"1,2,12",0.0,0.0
Dallas,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-0.1469766127341165,2.118128229981513,13,65,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,eab2334f5d67f2c9,STAGING,REPRODUCIBLE,within_tolerance,-0.1469766127341165,2.118128229981513,13,65,1,-9.873741897882198,"3,4,5",0.0,0.0
Denver,DJF,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,0.0,3.0,0,2,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,08bea66cbb5eb93a,STAGING,INSUFFICIENT_PRIOR,n_prior=2<5,,,0,2,0,,12,,
Denver,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-1.2682706831104604,1.4172290648048274,15,43,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,cdd3b0e0bd7480b9,STAGING,REPRODUCIBLE,within_tolerance,-1.2682706831104604,1.4172290648048274,15,43,1,2.1352945963541665,"3,4,5",0.0,0.0
Guangzhou,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-0.873362675419535,2.3165364410976053,13,22,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,800850d02ac03021,STAGING,REPRODUCIBLE,within_tolerance,-0.873362675419535,2.3165364410976053,13,22,1,-1.9188486735026054,"4,5",0.0,0.0
Helsinki,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-0.47269763515004093,1.1527486091421526,13,32,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,761d0d123c63f6ce,STAGING,REPRODUCIBLE,within_tolerance,-0.47269763515004093,1.1527486091421526,13,32,0,,"4,5",0.0,0.0
Hong Kong,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,0.6268801205913846,1.3557695809394752,0,46,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,c6eed2a5b981b037,STAGING,REPRODUCIBLE,within_tolerance,0.6268801205913846,1.3557695809394752,0,46,1,-2.7351175944010393,"3,4,5",0.0,0.0
Hong Kong,MAM,0,low,full_transport_v1,ecmwf_opendata_mn2t3_local_calendar_day_min_v1,tigge_mn2t6_local_calendar_day_min_v1,2026-05-28,-1.9157040465111592,0.7383910173721009,0,5,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,6d0a087aec1db8ea,STAGING,REPRODUCIBLE,within_tolerance,-1.9157040465111592,0.7383910173721009,0,5,0,,"4,5",0.0,0.0
Houston,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-2.6312626600933107,1.8686644045779148,14,43,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,6992aaa2ed60c809,STAGING,REPRODUCIBLE,within_tolerance,-2.6312626600933107,1.8686644045779148,14,43,1,2.2213742125268077,"3,4,5",0.0,0.0
Istanbul,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-2.3748304578992827,0.9391169966309414,12,36,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,441cae93e8a79da6,STAGING,REPRODUCIBLE,within_tolerance,-2.3748304578992827,0.9391169966309414,12,36,0,,"3,4,5",0.0,0.0
Jakarta,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-3.7991915064365336,0.8623954555411125,10,34,,,ff878ab5b46b4d317cb2a49f6daf2425af7020a5,ed3bedfa5882ebc4,STAGING,REPRODUCIBLE,within_tolerance,-3.7991915064365336,0.8623954555411125,10,34,1,2.05058707442938,"4,5",0.0,0.0
Jakarta,SON,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-3.7991915064365336,0.8623954555411125,10,34,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,9b8182c3786fde30,STAGING,INSUFFICIENT_PRIOR,n_prior=0<5,,,0,0,0,,,,
Jeddah,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-6.836237314261617,1.7718218892866002,14,29,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,cf8a12955c7ee938,STAGING,REPRODUCIBLE,within_tolerance,-6.836237314261617,1.7718218892866002,14,29,4,-0.150875315946692,"4,5",0.0,0.0
Karachi,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-0.45705208040787604,0.845497014988802,13,22,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,dff446b67a556fb1,STAGING,REPRODUCIBLE,within_tolerance,-0.45705208040787604,0.845497014988802,13,22,1,1.8314834295534652,"4,5",0.0,0.0
Kuala Lumpur,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-3.1340456302070736,1.3913163746165194,13,37,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,8c0910d33e235cd8,STAGING,REPRODUCIBLE,within_tolerance,-3.1340456302070736,1.3913163746165194,13,37,5,0.5464913760914513,"4,5",0.0,0.0
Lagos,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-2.5797166848139934,1.9357294349816554,7,26,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,e96ecf90ef6da476,STAGING,REPRODUCIBLE,within_tolerance,-2.5797166848139934,1.9357294349816554,7,26,0,,"4,5",0.0,0.0
London,DJF,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-0.6282183809880939,0.7619848449887966,0,116,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,25c793e87dc80667,STAGING,REPRODUCIBLE,within_tolerance,-0.6282183809880939,0.7619848449887966,0,116,0,,"1,2,12",0.0,0.0
London,JJA,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-0.11556017723545965,1.1519316966282973,0,92,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,2820ddcfaeeba402,STAGING,REPRODUCIBLE,within_tolerance,-0.11556017723545965,1.1519316966282973,0,92,0,,"6,7,8",0.0,0.0
London,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-0.2746925209156782,1.162470656614924,15,156,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,888272a77d8004f9,STAGING,REPRODUCIBLE,within_tolerance,-0.2746925209156782,1.162470656614924,15,156,0,,"3,4,5",0.0,0.0
London,MAM,0,low,full_transport_v1,ecmwf_opendata_mn2t3_local_calendar_day_min_v1,tigge_mn2t6_local_calendar_day_min_v1,2026-05-28,-0.38841607336902206,0.5,2,10,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,e69087df2aca113b,STAGING,REPRODUCIBLE,within_tolerance,-0.38841607336902206,0.5,2,10,0,,"4,5",0.0,0.0
London,SON,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-0.6874737375050658,0.8451217363586283,0,91,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,88b24bf67578c37e,STAGING,REPRODUCIBLE,within_tolerance,-0.6874737375050658,0.8451217363586283,0,91,0,,"9,10,11",0.0,0.0
Los Angeles,DJF,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,0.0,3.0,0,2,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,45f9311f5202f968,STAGING,INSUFFICIENT_PRIOR,n_prior=2<5,,,0,2,0,,12,,
Los Angeles,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-1.0626891833393277,0.8421757788620144,14,43,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,c6bd37d64b15cdf4,STAGING,REPRODUCIBLE,within_tolerance,-1.0626891833393277,0.8421757788620144,14,43,1,-0.9857177734375,"3,4,5",0.0,0.0
Lucknow,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-0.184458869485269,1.4984347529032311,14,62,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,966648828cec67f8,STAGING,REPRODUCIBLE,within_tolerance,-0.184458869485269,1.4984347529032311,14,62,1,-1.5704965030445805,"3,4,5",0.0,0.0
Madrid,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,0.45186846863992136,1.4738369090736576,14,48,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,a8fa9ef461fed794,STAGING,REPRODUCIBLE,within_tolerance,0.45186846863992136,1.4738369090736576,14,48,0,,"3,4,5",0.0,0.0
Manila,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-2.717962410280184,0.801899246168032,13,23,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,bda02741106241a0,STAGING,REPRODUCIBLE,within_tolerance,-2.717962410280184,0.801899246168032,13,23,2,1.087063808067171,"4,5",0.0,0.0
Mexico City,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,0.030901061123819136,1.8022702558691546,13,37,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,c8e3ae0a08899512,STAGING,REPRODUCIBLE,within_tolerance,0.030901061123819136,1.8022702558691546,13,37,1,-0.5377269071691195,"3,4,5",0.0,0.0
Miami,DJF,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-0.028074324988050126,1.4659626265277181,0,40,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,620908dff165f3c0,STAGING,REPRODUCIBLE,within_tolerance,-0.028074324988050126,1.4659626265277181,0,40,0,,"1,2,12",0.0,0.0
Miami,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,0.26307445718530176,0.991036219440005,11,65,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,3ecb87cce5864835,STAGING,REPRODUCIBLE,within_tolerance,0.26307445718530176,0.991036219440005,11,65,2,-0.990353752585019,"3,4,5",0.0,0.0
Miami,MAM,0,low,full_transport_v1,ecmwf_opendata_mn2t3_local_calendar_day_min_v1,tigge_mn2t6_local_calendar_day_min_v1,2026-05-28,-1.9047758347587933,2.9388472533979444,0,9,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,648401386ea43bc8,STAGING,REPRODUCIBLE,within_tolerance,-1.9047758347587933,2.9388472533979444,0,9,0,,"4,5",0.0,0.0
Milan,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-0.3955825356875911,1.068605694797202,15,48,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,e0212567d3d9993c,STAGING,REPRODUCIBLE,within_tolerance,-0.3955825356875911,1.068605694797202,15,48,0,,"3,4,5",0.0,0.0
Moscow,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,0.48637886795345414,1.3008924302734959,11,35,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,74e58305eea8ff93,STAGING,REPRODUCIBLE,within_tolerance,0.48637886795345414,1.3008924302734959,11,35,0,,"3,4,5",0.0,0.0
Munich,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-0.9422547097299382,0.8969758707536805,15,60,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,a196e4668375a694,STAGING,REPRODUCIBLE,within_tolerance,-0.9422547097299382,0.8969758707536805,15,60,0,,"3,4,5",0.0,0.0
NYC,DJF,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-1.9994578562647878,1.652190199782501,0,115,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,1fbf62322033921d,STAGING,REPRODUCIBLE,within_tolerance,-1.9994578562647878,1.652190199782501,0,115,0,,"1,2,12",0.0,0.0
NYC,JJA,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,0.5243337809460659,1.6199606443988315,0,92,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,b231250da00436ce,STAGING,REPRODUCIBLE,within_tolerance,0.5243337809460659,1.6199606443988315,0,92,0,,"6,7,8",0.0,0.0
NYC,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-0.2126756152145346,1.521973654912878,14,154,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,021f8a33b4081190,STAGING,REPRODUCIBLE,within_tolerance,-0.2126756152145346,1.521973654912878,14,154,1,-3.254080379710473,"3,4,5",0.0,0.0
NYC,MAM,0,low,full_transport_v1,ecmwf_opendata_mn2t3_local_calendar_day_min_v1,tigge_mn2t6_local_calendar_day_min_v1,2026-05-28,-2.974710980583617,2.9385998867988548,1,5,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,642e6ce90b3fb437,STAGING,REPRODUCIBLE,within_tolerance,-2.974710980583617,2.9385998867988548,1,5,0,,"4,5",0.0,0.0
NYC,SON,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-0.5917093688366234,1.4441231467808822,0,90,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,0493f56bd26660cc,STAGING,REPRODUCIBLE,within_tolerance,-0.5917093688366234,1.4441231467808822,0,90,0,,"9,10,11",0.0,0.0
Panama City,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-2.2327073276209646,1.3207835376872152,14,34,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,ad5ded59630568d6,STAGING,REPRODUCIBLE,within_tolerance,-2.2327073276209646,1.3207835376872152,14,34,1,1.3532837512446392,"4,5",0.0,0.0
Paris,DJF,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-1.2717946646619658,0.6567931164049089,0,15,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,2a90af712e8eefea,STAGING,COVERAGE_MISLABELED,"coverage_months=(2,) expected=(1, 2, 12)",-1.2717946646619658,0.6567931164049089,0,15,0,,2,0.0,0.0
Paris,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-1.210331991894729,1.0984966173505561,15,64,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,e000066c0d2b8456,STAGING,REPRODUCIBLE,within_tolerance,-1.210331991894729,1.0984966173505561,15,64,0,,"3,4,5",0.0,0.0
Paris,MAM,0,low,full_transport_v1,ecmwf_opendata_mn2t3_local_calendar_day_min_v1,tigge_mn2t6_local_calendar_day_min_v1,2026-05-28,0.3742903632536143,2.198139308617482,1,11,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,7ef12b06fadf26c5,STAGING,REPRODUCIBLE,within_tolerance,0.3742903632536143,2.198139308617482,1,11,0,,"4,5",0.0,0.0
Qingdao,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,0.0,3.0,13,1,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,65cc78d552ff0459,STAGING,INSUFFICIENT_PRIOR,n_prior=1<5,,,13,1,1,-0.2643462536381733,5,,
San Francisco,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-3.381544724009373,1.663770721548105,13,43,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,c31369fa5cc1fd67,STAGING,REPRODUCIBLE,within_tolerance,-3.381544724009373,1.663770721548105,13,43,1,0.13892588895909874,"3,4,5",0.0,0.0
Sao Paulo,DJF,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-0.7958821390189135,0.9831217086209132,0,8,,,ff878ab5b46b4d317cb2a49f6daf2425af7020a5,25b34a57a65922fa,STAGING,COVERAGE_MISLABELED,"coverage_months=(2,) expected=(1, 2, 12)",-0.7958821390189135,0.9831217086209132,0,8,0,,2,0.0,0.0
Sao Paulo,JJA,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-0.7958821390189135,0.9831217086209132,0,8,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,f38f8a958fd3be5a,STAGING,INSUFFICIENT_PRIOR,n_prior=0<5,,,0,0,0,,,,
Sao Paulo,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-0.5168336999874934,1.6080488309688001,13,66,,,ff878ab5b46b4d317cb2a49f6daf2425af7020a5,69828793aaa10a15,STAGING,REPRODUCIBLE,within_tolerance,-0.5168336999874934,1.6080488309688001,13,66,1,1.2257558785232838,"3,4,5",0.0,0.0
