overlay_id,city_key,city_name,icao,lat,lon,role_layer,role_kind,source_family,source_instance_key,provider,product_name,station_or_product_id,source_station_name,source_station_lat,source_station_lon,distance_km,distance_basis,coverage_relation,priority_rank,is_primary,is_derived,derived_from,endpoint_url,delay_minutes,delay_basis,freshness_rule,valid_from,valid_to,verification_status,evidence_refs,notes
auckland|forecast|openmeteo_previous_runs_auckland,auckland,Auckland,NZAA,-37.01,174.79,forecast,forecast_multi_model,openmeteo_previous_runs,openmeteo_previous_runs_auckland,Open-Meteo,Open-Meteo Previous Runs / Multi-Model,previous-runs-api.open-meteo.com/v1/forecast,Open-Meteo city grid point,-37.01,174.79,0.000,model_anchor,city,30,true,true,openmeteo upstream models,https://previous-runs-api.open-meteo.com/v1/forecast,720,reconstructed previous-runs lag / safe-fetch window,reconstructed latest available run,2026-04-21,,official_partial,https://open-meteo.com/en/docs; https://open-meteo.com/en/docs/model-updates,Redistributed previous-run / multi-model family; used as the third Open-Meteo forecast leg.
auckland|history|wu_history_auckland,auckland,Auckland,NZAA,-37.01,174.79,history,settlement_history,wu_icao_history,wu_history_auckland,Weather Underground,Weather Underground Historical Weather,NZAA,NZAA,-37.01,174.79,0.000,same_airport_proxy,city,100,true,false,,https://www.wunderground.com/history/daily/nz/auckland/NZAA,40.0,city-specific measured publication delay from config/wu_obs_latency.json,local-day settlement anchor,2026-04-21,,repo_measured,/Users/leofitz/zeus/config/cities.json; /Users/leofitz/zeus/config/wu_obs_latency.json; https://www.wunderground.com/history/daily/nz/auckland/NZAA,WU settlement/history page; current settlement source in config/cities.json.
auckland|history|meteostat_bulk_auckland,auckland,Auckland,NZAA,-37.01,174.79,history,meteostat_bulk_history,meteostat_bulk,meteostat_bulk_auckland,Meteostat,Meteostat bulk hourly archive,93119,93119,-37.01,174.79,0.000,airport_proxy_unverified,history_only,120,false,true,wu_icao_history,https://bulk.meteostat.net/v2/hourly/{WMO}.csv.gz,,archive lag is weeks to months; no stable minute SLA,historical fill only,2026-04-21,,repo_measured,https://bulk.meteostat.net/v2/hourly/{WMO}.csv.gz; https://bulk.meteostat.net/v2/stations/full.json.gz,Historical fallback for sparse stations; not a live feed.
auckland|observation|aviationweather_metar_auckland,auckland,Auckland,NZAA,-37.01,174.79,observation,airport_metar,aviationweather_metar,aviationweather_metar_auckland,AviationWeather.gov,Aviation Weather METAR,NZAA,NZAA,-37.01,174.79,0.000,same_airport_proxy,airport,200,true,false,,https://aviationweather.gov/api/data/metar,5,repo-measured fast-lane latency; official pages do not publish a fixed SLA,latest-report receipt time,2026-04-21,,repo_measured,https://aviationweather.gov/data/api/; https://aviationweather.gov/data/metar/,Airport METAR feed used for local current observation support; not used for HK or NOAA-settled cities.
auckland|observation|aviationweather_taf_auckland,auckland,Auckland,NZAA,-37.01,174.79,observation,airport_taf,aviationweather_taf,aviationweather_taf_auckland,AviationWeather.gov,Aviation Weather TAF,NZAA,NZAA,-37.01,174.79,0.000,same_airport_proxy,airport,210,false,false,,https://aviationweather.gov/api/data/taf,,report/issuer driven; no fixed SLA published,latest available forecast bulletin,2026-04-21,,official_partial,https://aviationweather.gov/data/api/; https://aviationweather.gov/data/metar/,Terminal forecast bulletin for the airport station.
austin|forecast|openmeteo_forecast_austin,austin,Austin,KAUS,30.18,-97.68,forecast,forecast_primary,openmeteo_forecast,openmeteo_forecast_austin,Open-Meteo,Open-Meteo Forecast API,api.open-meteo.com/v1/forecast,Open-Meteo city grid point,30.18,-97.68,0.000,model_anchor,city,10,true,false,,https://api.open-meteo.com/v1/forecast,360,model-cycle dependent; official docs do not expose a fixed SLA,latest-model snapshot,2026-04-21,,official_partial,https://open-meteo.com/en/docs; https://open-meteo.com/en/docs/model-updates,Global baseline forecast feed for the city grid point.
austin|forecast|openmeteo_ensemble_austin,austin,Austin,KAUS,30.18,-97.68,forecast,forecast_ensemble,openmeteo_ensemble,openmeteo_ensemble_austin,Open-Meteo,Open-Meteo Ensemble API,ensemble-api.open-meteo.com/v1/ensemble,Open-Meteo city grid point,30.18,-97.68,0.000,model_anchor,city,20,true,false,,https://ensemble-api.open-meteo.com/v1/ensemble,360,model-cycle dependent; ensemble follows upstream update cadence,latest-model snapshot,2026-04-21,,official_partial,https://open-meteo.com/en/docs/ensemble-api; https://open-meteo.com/en/docs/model-updates,Ensemble member family used in the forecast stack.
austin|forecast|openmeteo_previous_runs_austin,austin,Austin,KAUS,30.18,-97.68,forecast,forecast_multi_model,openmeteo_previous_runs,openmeteo_previous_runs_austin,Open-Meteo,Open-Meteo Previous Runs / Multi-Model,previous-runs-api.open-meteo.com/v1/forecast,Open-Meteo city grid point,30.18,-97.68,0.000,model_anchor,city,30,true,true,openmeteo upstream models,https://previous-runs-api.open-meteo.com/v1/forecast,720,reconstructed previous-runs lag / safe-fetch window,reconstructed latest available run,2026-04-21,,official_partial,https://open-meteo.com/en/docs; https://open-meteo.com/en/docs/model-updates,Redistributed previous-run / multi-model family; used as the third Open-Meteo forecast leg.
austin|forecast|nws_forecast_austin,austin,Austin,KAUS,30.18,-97.68,forecast,nws_forecast,nws_forecast,nws_forecast_austin,National Weather Service,NWS Points Forecast,"30.1831,-97.6806",NWS forecast point,30.18,-97.68,0.000,model_anchor,national,40,true,false,,"https://api.weather.gov/points/30.1831,-97.68063",,official forecast lifecycle; no fixed public SLA,latest grid-point point forecast,2026-04-21,,official_partial,https://www.weather.gov/documentation/services-web-api,US forecast supplement.
austin|history|wu_history_austin,austin,Austin,KAUS,30.18,-97.68,history,settlement_history,wu_icao_history,wu_history_austin,Weather Underground,Weather Underground Historical Weather,KAUS,KAUS,30.18,-97.68,0.000,same_airport_proxy,city,100,true,false,,https://www.wunderground.com/history/daily/us/austin/KAUS,40.0,city-specific measured publication delay from config/wu_obs_latency.json,local-day settlement anchor,2026-04-21,,repo_measured,/Users/leofitz/zeus/config/cities.json; /Users/leofitz/zeus/config/wu_obs_latency.json; https://www.wunderground.com/history/daily/us/austin/KAUS,WU settlement/history page; current settlement source in config/cities.json.
austin|history|meteostat_bulk_austin,austin,Austin,KAUS,30.18,-97.68,history,meteostat_bulk_history,meteostat_bulk,meteostat_bulk_austin,Meteostat,Meteostat bulk hourly archive,74745,74745,30.18,-97.68,0.000,airport_proxy_unverified,history_only,120,false,true,wu_icao_history,https://bulk.meteostat.net/v2/hourly/{WMO}.csv.gz,,archive lag is weeks to months; no stable minute SLA,historical fill only,2026-04-21,,repo_measured,https://bulk.meteostat.net/v2/hourly/{WMO}.csv.gz; https://bulk.meteostat.net/v2/stations/full.json.gz,Historical fallback for sparse stations; not a live feed.
austin|observation|aviationweather_metar_austin,austin,Austin,KAUS,30.18,-97.68,observation,airport_metar,aviationweather_metar,aviationweather_metar_austin,AviationWeather.gov,Aviation Weather METAR,KAUS,KAUS,30.18,-97.68,0.000,same_airport_proxy,airport,200,true,false,,https://aviationweather.gov/api/data/metar,5,repo-measured fast-lane latency; official pages do not publish a fixed SLA,latest-report receipt time,2026-04-21,,repo_measured,https://aviationweather.gov/data/api/; https://aviationweather.gov/data/metar/,Airport METAR feed used for local current observation support; not used for HK or NOAA-settled cities.
austin|observation|aviationweather_taf_austin,austin,Austin,KAUS,30.18,-97.68,observation,airport_taf,aviationweather_taf,aviationweather_taf_austin,AviationWeather.gov,Aviation Weather TAF,KAUS,KAUS,30.18,-97.68,0.000,same_airport_proxy,airport,210,false,false,,https://aviationweather.gov/api/data/taf,,report/issuer driven; no fixed SLA published,latest available forecast bulletin,2026-04-21,,official_partial,https://aviationweather.gov/data/api/; https://aviationweather.gov/data/metar/,Terminal forecast bulletin for the airport station.
austin|observation|madis_hfmetar_austin,austin,Austin,KAUS,30.18,-97.68,observation,madis_hfmetar,madis_hfmetar,madis_hfmetar_austin,NOAA MADIS,MADIS HFMETAR / 1-minute ASOS,KAUS,KAUS,30.18,-97.68,0.000,same_airport_proxy,airport,220,true,false,,https://madis-data.ncep.noaa.gov/madisPublic1/data/LDAD/hfmetar/netCDF/,5,official 5-minute processing / storage cadence,near-real-time airport observation,2026-04-21,,official_explicit,https://madis.ncep.noaa.gov/madis_metar.shtml; https://madis.ncep.noaa.gov/madis_OMO.shtml,US airport current-observation mirror used for fill and monitoring.
austin|nearby|global_metar_cluster_austin,austin,Austin,KAUS,30.18,-97.68,nearby,global_metar_cluster,global_metar_cluster,global_metar_cluster_austin,PolyWeather composition over AviationWeather,Global METAR cluster,KAUS,Global METAR cluster,30.18,-97.68,0.000,composite_cluster_proxy,nearby_cluster,300,false,true,aviationweather_metar; aviationweather_taf,https://aviationweather.gov/api/data/metar,5,inherits underlying METAR/TAF report timing,cluster fallback only,2026-04-21,,repo_inferred,/Users/leofitz/zeus/config/cities.json; /Users/leofitz/zeus/docs/polyweather_city_source_overlay_verified.csv,Global nearby-station composition; active only for the explicit city cluster list.
beijing|forecast|openmeteo_forecast_beijing,beijing,Beijing,ZBAA,40.08,116.60,forecast,forecast_primary,openmeteo_forecast,openmeteo_forecast_beijing,Open-Meteo,Open-Meteo Forecast API,api.open-meteo.com/v1/forecast,Open-Meteo city grid point,40.08,116.60,0.000,model_anchor,city,10,true,false,,https://api.open-meteo.com/v1/forecast,360,model-cycle dependent; official docs do not expose a fixed SLA,latest-model snapshot,2026-04-21,,official_partial,https://open-meteo.com/en/docs; https://open-meteo.com/en/docs/model-updates,Global baseline forecast feed for the city grid point.
